rebalance_date,effective_date,fund_id,ticker,asset_class,sector,pre_trade_weight,weight,trade_weight_change,rebalance_turnover,estimation_end
2021-01-01,2021-01-02,crypto_equal_weight,ADA-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,BCH-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,BTC-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,EOS-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,ETC-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,ETH-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,LTC-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,TRX-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,XLM-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_equal_weight,XRP-USD,crypto,,0.1,0.1,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,ADA-USD,crypto,,0.11811003595656254,0.11811003595656254,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,BCH-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,BTC-USD,crypto,,0.5626127249956586,0.5626127249956586,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,EOS-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,ETC-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,ETH-USD,crypto,,0.31927723904777794,0.31927723904777794,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,LTC-USD,crypto,,2.987228057441406e-16,2.987228057441406e-16,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,TRX-USD,crypto,,3.175038055705676e-16,3.175038055705676e-16,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,XLM-USD,crypto,,1.3941539837396598e-16,1.3941539837396598e-16,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_max_sharpe,XRP-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,ADA-USD,crypto,,1.123568425755842e-16,1.123568425755842e-16,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,BCH-USD,crypto,,3.07472298108821e-17,3.07472298108821e-17,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,BTC-USD,crypto,,0.9056092670550602,0.9056092670550602,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,EOS-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,ETC-USD,crypto,,4.199010987802524e-17,4.199010987802524e-17,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,ETH-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,LTC-USD,crypto,,1.6768843605691392e-17,1.6768843605691392e-17,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,TRX-USD,crypto,,0.05355505900325837,0.05355505900325837,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,XLM-USD,crypto,,1.2807667558077055e-18,1.2807667558077055e-18,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_min_variance,XRP-USD,crypto,,0.04083567394168134,0.04083567394168134,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,ADA-USD,crypto,,0.09077661163138866,0.09077661163138866,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,BCH-USD,crypto,,0.09039740605689134,0.09039740605689134,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,BTC-USD,crypto,,0.13995449172465557,0.13995449172465557,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,EOS-USD,crypto,,0.09546274117505331,0.09546274117505331,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,ETC-USD,crypto,,0.0983962998538545,0.0983962998538545,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,ETH-USD,crypto,,0.09975751167126974,0.09975751167126974,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,LTC-USD,crypto,,0.09858933284214252,0.09858933284214252,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,TRX-USD,crypto,,0.10330549045255766,0.10330549045255766,0.0,0.0,2021-01-01
2021-01-01,2021-01-02,crypto_risk_parity,XLM-USD,crypto,,0.091845914741101,0.091845914741101,0.0,0.0,2021-01-01
