fund_id,asset_family,method,rebalance_date,effective_date,estimation_start,estimation_end,n_estimation_observations,turnover
crypto_equal_weight,crypto,equal_weight,2021-01-01,2021-01-02,2020-01-02,2021-01-01,366,0.0
crypto_max_sharpe,crypto,max_sharpe,2021-01-01,2021-01-02,2020-01-02,2021-01-01,366,0.0
crypto_min_variance,crypto,min_variance,2021-01-01,2021-01-02,2020-01-02,2021-01-01,366,0.0
crypto_risk_parity,crypto,risk_parity,2021-01-01,2021-01-02,2020-01-02,2021-01-01,366,0.0
combined_equal_weight,combined,equal_weight,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
combined_max_sharpe,combined,max_sharpe,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
combined_min_variance,combined,min_variance,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
combined_risk_parity,combined,risk_parity,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
equity_equal_weight,equity,equal_weight,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
equity_max_sharpe,equity,max_sharpe,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
equity_min_variance,equity,min_variance,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
equity_risk_parity,equity,risk_parity,2021-01-04,2021-01-05,2020-01-03,2021-01-04,253,0.0
combined_equal_weight,combined,equal_weight,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.03995204474435021
combined_max_sharpe,combined,max_sharpe,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.1771523270462036
combined_min_variance,combined,min_variance,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.04982154888980914
combined_risk_parity,combined,risk_parity,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.035623891825666984
crypto_equal_weight,crypto,equal_weight,2021-02-01,2021-02-02,2020-01-02,2021-02-01,397,0.13487284780948855
crypto_max_sharpe,crypto,max_sharpe,2021-02-01,2021-02-02,2020-01-02,2021-02-01,397,0.3203254171924277
crypto_min_variance,crypto,min_variance,2021-02-01,2021-02-02,2020-01-02,2021-02-01,397,0.06418946061960959
crypto_risk_parity,crypto,risk_parity,2021-02-01,2021-02-02,2020-01-02,2021-02-01,397,0.14248905176038365
equity_equal_weight,equity,equal_weight,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.023219414878447805
equity_max_sharpe,equity,max_sharpe,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.18215070771112085
equity_min_variance,equity,min_variance,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.049821369305189385
equity_risk_parity,equity,risk_parity,2021-02-01,2021-02-02,2020-01-03,2021-02-01,272,0.022483831167741684
combined_equal_weight,combined,equal_weight,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.07123986856258831
combined_max_sharpe,combined,max_sharpe,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.24151418545959885
combined_min_variance,combined,min_variance,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.020294305856178266
combined_risk_parity,combined,risk_parity,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.06668933232155111
crypto_equal_weight,crypto,equal_weight,2021-03-01,2021-03-02,2020-01-02,2021-03-01,425,0.11374339241547274
crypto_max_sharpe,crypto,max_sharpe,2021-03-01,2021-03-02,2020-01-02,2021-03-01,425,0.38563515492148953
crypto_min_variance,crypto,min_variance,2021-03-01,2021-03-02,2020-01-02,2021-03-01,425,0.034166666338711536
crypto_risk_parity,crypto,risk_parity,2021-03-01,2021-03-02,2020-01-02,2021-03-01,425,0.10106116943585544
equity_equal_weight,equity,equal_weight,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.05024465171195885
equity_max_sharpe,equity,max_sharpe,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.3891524722343162
equity_min_variance,equity,min_variance,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.020294305099171496
equity_risk_parity,equity,risk_parity,2021-03-01,2021-03-02,2020-01-03,2021-03-01,291,0.04482150439150853
crypto_equal_weight,crypto,equal_weight,2021-04-01,2021-04-02,2020-01-02,2021-04-01,456,0.07107374339235395
crypto_max_sharpe,crypto,max_sharpe,2021-04-01,2021-04-02,2020-01-02,2021-04-01,456,0.15416196083675882
crypto_min_variance,crypto,min_variance,2021-04-01,2021-04-02,2020-01-02,2021-04-01,456,0.05909459128612447
crypto_risk_parity,crypto,risk_parity,2021-04-01,2021-04-02,2020-01-02,2021-04-01,456,0.07247668186415379
combined_equal_weight,combined,equal_weight,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.031406467234838205
combined_max_sharpe,combined,max_sharpe,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.20948212598894492
combined_min_variance,combined,min_variance,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.03130876771252019
combined_risk_parity,combined,risk_parity,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.02833472715312471
equity_equal_weight,equity,equal_weight,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.02355637851707467
equity_max_sharpe,equity,max_sharpe,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.2595042470374609
equity_min_variance,equity,min_variance,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.03130876709927513
equity_risk_parity,equity,risk_parity,2021-04-01,2021-04-05,2020-01-03,2021-04-01,314,0.0229966190355499
crypto_equal_weight,crypto,equal_weight,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.1647284381912224
crypto_max_sharpe,crypto,max_sharpe,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.30139234891842726
crypto_min_variance,crypto,min_variance,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.21653452765167294
