headline_id,date,ticker,sector,title,plain_score,enhanced_score
1425,2020-01-17,T,Comm,7 5G Stocks to Connect Your Portfolio To,0.0,0.0
41913,2021-03-11,TMUS,Comm,"Notable Thursday Option Activity: TMUS, LRCX, FCX",0.0,0.0
48492,2021-06-16,T,Comm,"Now That Nokia Is Free Cash Flow Positive, Prospects for a Dividend Are High",0.8442,0.8442
103885,2023-02-02,TMUS,Comm,T-Mobile (TMUS) Beats on Q4 Earnings Despite Lower Revenues,0.2235,0.5978
127932,2023-08-10,T,Comm,RBC Capital Maintains AT&T (T) Sector Perform Recommendation,0.0,0.0
11505,2020-04-08,DIS,Consumer,Netflix (NFLX) Toolkit to Help Parents Clean Child Content,0.6597,0.6597
29916,2020-09-29,DIS,Consumer,"Disney to Lay Off 28,000 Workers in Parks, Experiences, and Products Unit",0.0,0.0
97721,2022-11-30,WMT,Consumer,Be Mindful About Retail ETF Investing This Holiday Season,0.4019,0.4019
104523,2023-02-08,DIS,Consumer,Commercial Metals and Ovintiv have been highlighted as Zacks Bull and Bear of the Day,0.0,0.0
131034,2023-08-31,WMT,Consumer,3 Takeaways from the August Inflation Report,0.0,0.0
22150,2020-06-16,XOM,Energy,"BUZZ-U.S. STOCKS ON THE MOVE-Eli Lilly, Turtle Beach, Eldorado Resorts",0.0,0.0
61273,2021-12-13,COP,Energy,Activist group targets Exxon with shareholder climate resolution,0.0,0.0
83875,2022-07-13,OXY,Energy,"Zacks Investment Ideas feature highlights: Apple, Occidental Petroleum and HP",0.0,0.0
84016,2022-07-14,COP,Energy,ConocoPhillips (COP) Dips More Than Broader Markets: What You Should Know,0.0,0.0
146107,2023-12-13,OXY,Energy,OXY August 2024 Options Begin Trading,0.0,0.0
30884,2020-10-12,WFC,Financials,"S&P 500 Gains 57 Points Ahead of Earnings, Huge Apple and Amazon Events, Ford Stock Gets an Upgrade",0.6597,0.8225
63401,2022-01-10,GS,Financials,Saudi Arabia's biggest lender hires banks for sustainable sukuk -document,0.0,0.0
111826,2023-04-17,MS,Financials,US STOCKS-Wall St slips as Fed seen hiking rates in May; State Street sinks,0.0,0.0
139092,2023-10-25,V,Financials,"Visa (V) Q4 Earnings Beat on Cross-Border Volume, Dividend Hiked",0.0,0.4588
143368,2023-11-24,MS,Financials,3 Investment Banks to Watch Despite Industry-Wide Challenges,-0.0572,-0.0572
23145,2020-06-29,GILD,Healthcare,U.S. FDA declines to approve first drug for obesity-linked liver disease,0.0,0.0
25010,2020-07-23,ABT,Healthcare,5 Dividend Aristocrats Where Analysts See Capital Gains,0.34,0.34
49194,2021-06-25,ABBV,Healthcare,Forget Dogecoin: These Dogs of the Dow Are More Likely to Make You Rich,0.4019,0.4019
111876,2023-04-17,MRK,Healthcare,Merck to buy Prometheus Biosciences for about $11 bln,0.0,0.0
126572,2023-08-01,MRK,Healthcare,"US STOCKS SNAPSHOT-S&P 500, Nasdaq slide after mixed pharma earnings; economic data in focus",0.0,0.0
5866,2020-02-25,CAT,Industrials,Dow Jones Today: CDC Warning Is a Red Flag for Stocks,-0.34,-0.34
12229,2020-04-13,CAT,Industrials,"BUZZ-U.S. STOCKS ON THE MOVE-Netflix, Amazon.com, Dish Network, GE, AMC Entertainment, Aurora Cannabis",0.4215,0.4215
39161,2021-01-29,CAT,Industrials,"Caterpillar Q4 Profit Falls, But Beats Estimates - Quick Facts",0.2382,0.714
56873,2021-10-15,GE,Industrials,"Be Patient, General Electric Stock Won’t Stay Stuck at $100 Per Share Forever",0.0516,0.0516
90793,2022-09-16,UPS,Industrials,Reading Q3 Earnings Tea Leaves After the FedEx Bombshell,0.0,0.0
2786,2020-01-29,DOW,Materials,"Dow Jones Today Rises On Apple, Dow, Boeing; Chips Take A Hit, Fed Prepares To Vote",0.0,0.0
27447,2020-08-20,DOW,Materials,"Dow Movers: DOW, INTC",0.0,0.0
28844,2020-09-11,DOW,Materials,Canada touts plan to cut fuel carbon intensity; refiners fret about costs,-0.296,-0.296
84810,2022-07-20,NUE,Materials,3 Top Dividend Kings for the Second Half of 2022,0.2023,0.2023
113196,2023-04-25,NEM,Materials,Newmont (NEM) to Report Q1 Earnings: What's in the Offing?,0.0,0.0
40120,2021-02-11,PLD,RealEstate,"IYR, AMT, PLD, CCI: Large Inflows Detected at ETF",0.0,0.0
77022,2022-05-05,O,RealEstate,Realty Income Q1 22 Earnings Conference Call At 2:30 PM ET,0.0,0.0
85718,2022-07-27,PLD,RealEstate,What Do Some of My Favorite S&P 500 Stocks Have In Common? They're All REITs,0.4588,0.4588
106913,2023-03-02,O,RealEstate,Build Your Wealth by Buying and Holding These 2 Dividend Stocks for at Least 20 Years,0.4939,0.4939
114463,2023-05-03,PLD,RealEstate,RBC Capital Maintains Prologis (PLD) Outperform Recommendation,0.0,0.4215
1549,2020-01-17,INTC,Tech,"Technology Sector Update for 01/17/2020: AMD,INTC,SNAP,PRGS",0.0,0.0
71618,2022-03-18,INTC,Tech,M&A honchos try U.S. trustbusters in absentia,0.0,0.0
101549,2023-01-13,AMD,Tech,No Holiday PC Sales Boost for Intel and AMD,0.4939,0.4939
103260,2023-01-27,AMD,Tech,"Got $1,000? 5 Buffett Stocks to Buy in 2023 and Hold Forever",0.0,0.0
117858,2023-05-31,NVDA,Tech,Nvidia rally: Retail investors stay out on growing slowdown worries,-0.2732,-0.2732
3204,2020-01-31,SO,Utilities,Stocks That Hit 52-Week Highs On Friday,0.0,0.0
106045,2023-02-22,AEP,Utilities,"Utilities Stocks' Q4 Earnings on Feb 23: AEP, PCG & More",0.0,0.0
112175,2023-04-18,NEE,Utilities,Why NextEra (NEE) is Poised to Beat Earnings Estimates Again,0.25,0.6124
130634,2023-08-28,DUK,Utilities,"Energy Sector Update for 08/28/2023: CVX, HE, XPRO, DUK",0.2732,0.2732
142384,2023-11-15,SO,Utilities,"Ex-Dividend Reminder: Nuvei, Wynn Resorts and Southern",0.0,0.0
