fund_id,asset_family,method,cost_bps,annualised_return,annualised_volatility,sharpe,max_drawdown,final_growth_of_1,growth_drag_vs_gross,mean_rebalance_turnover,total_rebalance_turnover,n_cost_events,sharpe_change_vs_gross
combined_equal_weight,combined,equal_weight,0,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,1.5234529739919818,0.0,0.0,0.0,0,0.0
combined_equal_weight,combined,equal_weight,10,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,1.5234529739919818,0.0,0.0,0.0,0,0.0
combined_equal_weight,combined,equal_weight,25,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,1.5234529739919818,0.0,0.0,0.0,0,0.0
combined_equal_weight,combined,equal_weight,50,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,1.5234529739919818,0.0,0.0,0.0,0,0.0
combined_equal_weight,combined,equal_weight,100,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,1.5234529739919818,0.0,0.0,0.0,0,0.0
combined_max_sharpe,combined,max_sharpe,0,0.09500945663684313,0.35126566617966665,0.4332763325008089,-0.5351229831854516,1.3110761857023707,0.0,0.18037654730506514,6.31317915567728,35,0.0
combined_max_sharpe,combined,max_sharpe,10,0.09270126158413383,0.35125177766975424,0.4272704723075536,-0.536174346032653,1.3028463465045976,-0.008229839197773092,0.18037654730506514,6.31317915567728,35,-0.006005860193255275
combined_max_sharpe,combined,max_sharpe,25,0.08924719346615317,0.3512332051306997,0.418258099889001,-0.5377474165452818,1.2905951838896748,-0.020481001812695965,0.18037654730506514,6.31317915567728,35,-0.015018232611807902
combined_max_sharpe,combined,max_sharpe,50,0.0835122831101931,0.3512082791914347,0.40322843966559524,-0.5403586353811717,1.2704237349602603,-0.040652450742110435,0.18037654730506514,6.31317915567728,35,-0.03004789283521364
combined_max_sharpe,combined,max_sharpe,100,0.0721240569960846,0.3511810385748554,0.3731386916218458,-0.5455416636933079,1.2309914691928936,-0.08008471650947713,0.18037654730506514,6.31317915567728,35,-0.06013764087896306
combined_min_variance,combined,min_variance,0,0.06956139914045045,0.12794254124460683,0.5896129470345468,-0.18313016041902797,1.2222318005913329,0.0,0.022335041397283137,0.7817264489049098,35,0.0
combined_min_variance,combined,min_variance,10,0.06928203252761578,0.12793726641397815,0.5875896787438076,-0.18328772781283542,1.2212793836336806,-0.0009524169576522468,0.022335041397283137,0.7817264489049098,35,-0.0020232682907391775
combined_min_variance,combined,min_variance,25,0.0688631031821969,0.12792946961104232,0.5845539359676869,-0.18352403612236357,1.2198520942730602,-0.0023797063182726674,0.022335041397283137,0.7817264489049098,35,-0.005059011066859909
combined_min_variance,combined,min_variance,50,0.06816520902844547,0.12791678284977068,0.5794921473871162,-0.1839177692413485,1.217476837277759,-0.0047549633135739455,0.022335041397283137,0.7817264489049098,35,-0.010120799647430623
combined_min_variance,combined,min_variance,100,0.06677062532273781,0.12789256439877683,0.56936041519631,-0.1847048078731136,1.212739639331507,-0.009492161259825771,0.022335041397283137,0.7817264489049098,35,-0.02025253183823683
combined_risk_parity,combined,risk_parity,0,0.13034592614079465,0.17243828548937135,0.7968958978711992,-0.22935395520884883,1.4414165203096172,0.0,0.00316288997180268,0.1107011490130938,35,0.0
combined_risk_parity,combined,risk_parity,10,0.13030417778532866,0.17243743521929128,0.7966846961396715,-0.22937285882453085,1.4412576587283152,-0.00015886158130196115,0.00316288997180268,0.1107011490130938,35,-0.00021120173152766597
combined_risk_parity,combined,risk_parity,25,0.13024155777788815,0.17243616164537448,0.7963678811799447,-0.22940121354020182,1.4410193977940724,-0.00039712251554480105,0.00316288997180268,0.1107011490130938,35,-0.0005280166912544626
combined_risk_parity,combined,risk_parity,50,0.1301371978338548,0.17243404390550854,0.7958398233091138,-0.22944846951209752,1.4406223800567581,-0.0007941402528590658,0.00316288997180268,0.1107011490130938,35,-0.0010560745620853407
combined_risk_parity,combined,risk_parity,100,0.12992850320004634,0.17242982673906826,0.794783584242843,-0.22954297437788218,1.4398286588109912,-0.0015878614986259976,0.00316288997180268,0.1107011490130938,35,-0.002112313628356177
crypto_equal_weight,crypto,equal_weight,0,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,2.3891769525055033,0.0,0.0,0.0,0,0.0
